string,string_code,ref_t,swing_speed,material,gauge_nom,gauce_ac,stretch_40,stretch_51,stretch_62,pre_t,dwell,deflec,change_t,peak_t,peak_trans_force,avg_trans_force,stiffness,static_loss,stabiliz,impact_loss,total_loss,tension_loss,energy_return,sts_cof,stb_cof,spin_pot
Alien Black Diamond 16,0,51,Fast,Polyester,1.3,1.31,3,5.2,5.8,15.63,42.8,30.1,38.8,54.5,28.5,,152.6,7.36,16.56,0.4,24.3,61.3,76.4,0.1,0.453,4.5
Alien Black Diamond 16,1,62,Fast,Polyester,1.3,1.31,3,5.2,5.8,33.08,39.7,19,24.5,57.6,23.9,,239.5,10.61,17.13,0.24,28,45.3,91.4,0.1,0.453,4.5
Alien Black Diamond 16,2,40,Slow,Polyester,1.3,1.31,3,5.2,5.8,25.42,38.6,27.9,39.9,65.3,30.7,,190.3,8.4,16.87,0.47,25.8,50.7,83,0.1,0.453,4.5
Alien Black Diamond 16,3,51,Slow,Polyester,1.3,1.31,3,5.2,5.8,15.77,40.5,35.8,48.1,63.7,32.1,,223.5,10.61,17.13,0.55,28.2,45.8,87.8,0.1,0.453,4.5
Alien Black Diamond 16,4,40,Medium,Polyester,1.3,1.31,3,5.2,5.8,34,35.8,26,39.7,73.9,12.2,,205.2,7.36,17.18,-0.09,24.5,61.6,88.9,0.1,0.453,4.5
Alien Black Diamond 16,5,62,Slow,Polyester,1.3,1.31,3,5.2,5.8,25.45,36.6,32.6,49.8,75.2,12.7,,256.6,8.4,17.51,-0.17,25.8,50.7,94.5,0.1,0.453,4.5
Alien Black Diamond 16,6,51,Medium,Polyester,1.3,1.31,3,5.2,5.8,34,34,30.3,50.5,84.7,20.5,,174.3,7.36,16.7,0.19,24.3,61.1,82.4,0.1,0.453,4.5
Alien Black Diamond 16,7,40,Fast,Polyester,1.3,1.31,3,5.2,5.8,15.15,47.7,23.1,26.9,42.1,13.7,,274.3,10.61,18.05,-0.5,28.2,45.6,95.6,0.1,0.453,4.5
Alien Black Diamond 16,8,62,Medium,Polyester,1.3,1.31,3,5.2,5.8,24.81,43,20.2,25.8,50.5,22.8,,207.5,8.4,16.9,0.33,25.6,50.5,88.5,0.1,0.453,4.5
Alpha Gut 2000 16,9,40,Fast,Nylon,1.33,NA,7.6,9.1,10,53.41,34.5,25.4,28.4,81.8,35.1,17.4,180.6,4.39,4.28,0.24,8.8,14.4,93.7,0.161,0.506,3.1
Alpha Gut 2000 16,10,62,Slow,Nylon,1.33,NA,7.6,9.1,10,31.16,45.8,22,15.2,46.3,22.8,11,133.7,5.29,3.4,0.06,8.8,22.1,93.3,0.161,0.506,3.1
Alpha Gut 2000 16,11,51,Slow,Nylon,1.33,NA,7.6,9.1,10,42.71,36.9,27.1,29.1,71.9,33.3,16,159.4,4.32,3.89,0.17,8.4,16.5,93.5,0.161,0.506,3.1
Alpha Gut 2000 16,12,62,Medium,Nylon,1.33,NA,7.6,9.1,10,53.07,32.5,30.1,40.1,93.3,31.4,15.3,131.4,5.29,3.55,0.13,9,22.6,90.1,0.161,0.506,3.1
Alpha Gut 2000 16,13,40,Slow,Nylon,1.33,NA,7.6,9.1,10,31,40.7,30,29.8,60.6,15.1,7.8,163.4,4.39,3.15,0.07,7.7,12.3,99,0.161,0.506,3.1
Alpha Gut 2000 16,14,51,Medium,Nylon,1.33,NA,7.6,9.1,10,42.51,34.7,32.1,40.4,82.9,14.2,7.2,148.6,4.32,2.96,0,7.3,14.3,96.8,0.161,0.506,3.1
Alpha Gut 2000 16,15,62,Fast,Nylon,1.33,NA,7.6,9.1,10,30.85,38,35.3,40.4,71,26,12.8,179.5,4.39,3.94,0,8.4,13.5,97.4,0.161,0.506,3.1
Alpha Gut 2000 16,16,40,Medium,Nylon,1.33,NA,7.6,9.1,10,54.2,37.9,18,13,67.3,12.7,6.4,126.9,5.29,3.24,0,8.6,21.5,94.5,0.161,0.506,3.1
Alpha Gut 2000 16,17,51,Fast,Nylon,1.33,NA,7.6,9.1,10,43.44,41,19.8,14.3,57.8,24.4,12.2,161.2,4.32,3.69,-0.02,7.9,15.7,96.4,0.161,0.506,3.1
Ashaway Dynamite 17,18,40,Fast,Nylon/Zyex,1.25,1.26,5.5,7.6,9.7,35.59,42,20,14.6,50.1,21.4,,135.4,6.62,8.38,0.13,15.2,29.8,92.5,0.138,0.415,3
Ashaway Dynamite 17,19,62,Medium,Nylon/Zyex,1.25,1.26,5.5,7.6,9.7,23.84,43.3,31,27.1,50.9,26.5,,108.6,5.89,9.9,0.44,16.3,40.9,85.2,0.138,0.415,3
Ashaway Dynamite 17,20,51,Fast,Nylon/Zyex,1.25,1.26,5.5,7.6,9.7,46.57,38.3,18,12.8,59.3,22.6,,151.4,7.65,7.17,0.04,14.8,24.1,95.6,0.138,0.415,3
Ashaway Dynamite 17,21,62,Fast,Nylon/Zyex,1.25,1.26,5.5,7.6,9.7,35.72,38.8,27.9,25.8,61.5,28.8,,127.4,6.62,8.4,0.13,15.2,29.9,91.8,0.138,0.415,3
Ashaway Dynamite 17,22,40,Slow,Nylon/Zyex,1.25,1.26,5.5,7.6,9.7,23.9,40.9,36.1,34.8,58.7,29.9,,144.6,7.65,7.17,0.28,15.2,24.5,92.2,0.138,0.415,3
Ashaway Dynamite 17,23,51,Slow,Nylon/Zyex,1.25,1.26,5.5,7.6,9.7,46.92,35.7,25.4,24,71,11.1,,133.2,5.89,10.23,-0.05,16.1,40.5,95.1,0.138,0.415,3
Ashaway Dynamite 17,24,40,Medium,Nylon/Zyex,1.25,1.26,5.5,7.6,9.7,35.7,36.9,33,34.2,69.9,12.5,,148,6.62,8.51,-0.04,15,29.7,95.1,0.138,0.415,3
Ashaway Dynamite 17,25,62,Slow,Nylon/Zyex,1.25,1.26,5.5,7.6,9.7,46.92,34.1,30.1,32.4,79.4,19.7,,114.9,5.89,9.96,0.36,16.3,40.8,90.2,0.138,0.415,3
Ashaway Dynamite 17,26,51,Medium,Nylon/Zyex,1.25,1.26,5.5,7.6,9.7,23.57,47.5,22.3,16.3,39.7,13.3,,159.4,7.65,7.52,-0.26,15,24.1,98.2,0.138,0.415,3
Ashaway Dynamite Soft 17,27,40,Slow,Nylon/Zyex,1.25,1.21,8.5,9.1,12.7,26.64,40.4,36,32.6,59.3,30.3,,135.4,9.08,6.51,0.2,15.9,25.6,93.5,0.204,0.527,2.6
Ashaway Dynamite Soft 17,28,51,Slow,Nylon/Zyex,1.25,1.21,8.5,9.1,12.7,46.28,36.1,25.9,23.4,69.7,11,,114.9,5.25,8.05,-0.14,13.2,33.2,94.1,0.204,0.527,2.6
Ashaway Dynamite Soft 17,29,40,Medium,Nylon/Zyex,1.25,1.21,8.5,9.1,12.7,36.71,37,33.3,32.9,69.7,12.4,,129.7,6.99,6.97,-0.02,13.9,27.5,96.8,0.204,0.527,2.6
Ashaway Dynamite Soft 17,30,62,Slow,Nylon/Zyex,1.25,1.21,8.5,9.1,12.7,46.15,34.4,31,32,78.3,19.4,,109.7,5.25,7.8,0.11,13.2,33.2,92.5,0.204,0.527,2.6
Ashaway Dynamite Soft 17,31,51,Medium,Nylon/Zyex,1.25,1.21,8.5,9.1,12.7,26.39,47.1,22,13.7,40.1,13.1,,147.4,9.08,6.31,-0.02,15.4,24.9,94.7,0.204,0.527,2.6
Ashaway Dynamite Soft 17,32,40,Fast,Nylon/Zyex,1.25,1.21,8.5,9.1,12.7,36.76,42.2,20,12.8,49.6,21.4,,127.4,6.99,6.97,0.02,13.9,27.6,94.7,0.204,0.527,2.6
Ashaway Dynamite Soft 17,33,62,Medium,Nylon/Zyex,1.25,1.21,8.5,9.1,12.7,26.64,42.8,30.2,24.7,51.2,26.7,,102.3,5.25,7.8,0.27,13.2,33.6,88.9,0.204,0.527,2.6
Ashaway Dynamite Soft 17,34,51,Fast,Nylon/Zyex,1.25,1.21,8.5,9.1,12.7,46.35,38.6,18,11.7,58.2,22.5,,141.2,9.08,6.38,0.02,15.4,25.1,95.6,0.204,0.527,2.6
Ashaway Dynamite Soft 17,35,62,Fast,Nylon/Zyex,1.25,1.21,8.5,9.1,12.7,36.76,38.9,28,24.5,61.3,29,,120,6.99,7.02,0.24,14.3,28.1,90.8,0.204,0.527,2.6
Ashaway Dynamite Soft 18,36,51,Medium,Nylon/Zyex,1.15,1.18,8.5,10.6,13.6,26.5,47.6,22.2,12.8,39.2,19.3,,97.7,5.07,7.87,0.09,13,32.8,92.9,NA,NA,NA
Ashaway Dynamite Soft 18,37,40,Fast,Nylon/Zyex,1.15,1.18,8.5,10.6,13.6,36.63,42.8,20,11.7,48.5,13,,137.2,8.29,6.59,-0.08,14.8,24,99.8,NA,NA,NA
Ashaway Dynamite Soft 18,38,62,Medium,Nylon/Zyex,1.15,1.18,8.5,10.6,13.6,26.75,43.5,31,23.2,49.8,20.7,,114.9,6.24,7.7,0.09,14.1,27.7,92.4,NA,NA,NA
Ashaway Dynamite Soft 18,39,51,Fast,Nylon/Zyex,1.15,1.18,8.5,10.6,13.6,46.86,38.8,18,11,57.8,26.6,,91.4,5.07,7.87,0.29,13.2,33.3,88.9,NA,NA,NA
Ashaway Dynamite Soft 18,40,62,Fast,Nylon/Zyex,1.15,1.18,8.5,10.6,13.6,36.78,39.4,28,22.3,59.1,22.4,,133.7,8.29,6.64,-0.05,15,24.1,95.6,NA,NA,NA
Ashaway Dynamite Soft 18,41,40,Slow,Nylon/Zyex,1.15,1.18,8.5,10.6,13.6,26.75,41.1,37,30.9,57.6,28.6,,108,6.24,7.74,0.29,14.3,28.1,92.4,NA,NA,NA
Ashaway Dynamite Soft 18,42,51,Slow,Nylon/Zyex,1.15,1.18,8.5,10.6,13.6,46.81,36.4,26,22.3,69,30.2,,127.4,8.29,6.77,0.22,15.2,24.8,93.7,NA,NA,NA
Ashaway Dynamite Soft 18,43,40,Medium,Nylon/Zyex,1.15,1.18,8.5,10.6,13.6,36.74,37.5,34,30.6,67.3,10.9,,105.2,5.07,8.12,-0.09,13,33,94.3,NA,NA,NA
Ashaway Dynamite Soft 18,44,62,Slow,Nylon/Zyex,1.15,1.18,8.5,10.6,13.6,46.68,34.7,31.3,30.6,77.4,12.1,,119.4,6.24,7.85,-0.11,13.9,27.6,92.7,NA,NA,NA
Ashaway Dynamite WB 16,45,51,Slow,Nylon/Zyex,1.34,1.41,NA,NA,9.1,34.49,37.5,33.9,35.3,69.9,11.1,,124,6.06,12.09,-0.07,18.1,45.6,95.3,0.142,0.466,3.3
Ashaway Dynamite WB 16,46,40,Medium,Nylon/Zyex,1.34,1.41,NA,NA,9.1,44.65,34.6,31.2,34.2,78.7,12.3,,153.2,6.17,10.11,-0.05,16.3,32,98.4,0.142,0.466,3.3
Ashaway Dynamite WB 16,47,62,Slow,Nylon/Zyex,1.34,1.41,NA,NA,9.1,21.54,49.5,23.3,16.5,38.1,19.8,,109.7,6.06,11.8,0.49,18.3,46.2,89.3,0.142,0.466,3.3
Ashaway Dynamite WB 16,48,51,Medium,Nylon/Zyex,1.34,1.41,NA,NA,9.1,34.44,42.7,19.9,15,49.4,13,,172,8.36,9.04,-0.4,17,27.5,96.6,0.142,0.466,3.3
Ashaway Dynamite WB 16,49,40,Fast,Nylon/Zyex,1.34,1.41,NA,NA,9.1,21.83,44.4,32,27.6,49.4,21.5,,137.2,6.17,10,0.17,16.3,32.2,92.9,0.142,0.466,3.3
Ashaway Dynamite WB 16,50,62,Medium,Nylon/Zyex,1.34,1.41,NA,NA,9.1,44.34,38.9,18,13.7,58,28,,104.6,6.06,11.89,0.7,18.7,47,85,0.142,0.466,3.3
Ashaway Dynamite WB 16,51,51,Fast,Nylon/Zyex,1.34,1.41,NA,NA,9.1,34.55,39.2,28.1,26.7,61.3,22.7,,153.2,8.36,8.6,0.19,17.2,27.8,95.1,0.142,0.466,3.3
Ashaway Dynamite WB 16,52,62,Fast,Nylon/Zyex,1.34,1.41,NA,NA,9.1,21.74,41.9,38,37,58.9,29.6,,125.2,6.17,10.06,0.44,16.8,32.9,91,0.142,0.466,3.3
Ashaway Dynamite WB 16,53,40,Slow,Nylon/Zyex,1.34,1.41,NA,NA,9.1,44.78,36.2,25.9,25.4,70.1,30.7,,142.3,8.36,8.73,0.46,17.6,28.4,92.5,0.142,0.466,3.3
Ashaway Liberty 16,54,51,Fast,Nylon,1.3,1.33,NA,NA,11.2,38.81,40.8,19,15.2,54,34.7,,179.5,9.24,5.4,0.27,15,24.1,94.7,0.094,0.434,4.6
Ashaway Liberty 16,55,62,Medium,Nylon,1.3,1.33,NA,NA,11.2,47.69,38.4,18,14.1,61.7,32.3,,167.4,7.19,5.14,0.24,12.6,24.8,92,0.094,0.434,4.6
Ashaway Liberty 16,56,40,Fast,Nylon,1.3,1.33,NA,NA,11.2,29.28,44.9,21,15.7,44.8,24.8,,185.7,9.24,5.05,0.13,14.3,23.4,95.3,0.094,0.434,4.6
Ashaway Liberty 16,57,51,Medium,Nylon,1.3,1.33,NA,NA,11.2,47.1,33.4,31,42.3,89.5,30.4,,138.9,5.6,4.92,0.17,10.8,26.9,89.5,0.094,0.434,4.6
Ashaway Liberty 16,58,40,Medium,Nylon,1.3,1.33,NA,NA,11.2,38.39,34.9,32,42.3,80.7,23.1,,169.7,7.19,4.92,0.09,12.1,24,95.5,0.094,0.434,4.6
Ashaway Liberty 16,59,51,Slow,Nylon,1.3,1.33,NA,NA,11.2,47.45,35.5,25.6,30,77.4,21.5,,142.3,5.6,4.76,0.09,10.4,26.3,92.4,0.094,0.434,4.6
Ashaway Liberty 16,60,62,Slow,Nylon,1.3,1.33,NA,NA,11.2,29.17,37.8,34.6,41,70.1,12.8,,170.9,7.19,4.72,0,11.9,23.5,98.2,0.094,0.434,4.6
Ashaway Liberty 16,61,40,Slow,Nylon,1.3,1.33,NA,NA,11.2,38.61,37,26.9,30.2,68.8,13.9,,176.6,9.24,4.81,0,14.1,22.8,96.6,0.094,0.434,4.6
Ashaway Liberty 16,62,62,Fast,Nylon,1.3,1.33,NA,NA,11.2,29.33,40.2,29.2,29.8,59.1,11.8,,143.4,5.6,4.81,-0.13,10.4,25.9,97,0.094,0.434,4.6
Ashaway MonoGut 16L,63,51,Slow,Polyester,1.27,1.28,1.8,3,4.2,35.83,35.3,25.4,41,76.7,12.7,,233.7,5.8,15.35,-0.14,20.9,52.9,90.1,0.106,0.366,3.5
Ashaway MonoGut 16L,64,40,Medium,Polyester,1.27,1.28,1.8,3,4.2,27.45,35.8,32,51.2,78.5,13.2,,266.9,8.16,15.92,-0.5,23.6,46.5,95.3,0.106,0.366,3.5
Ashaway MonoGut 16L,65,62,Slow,Polyester,1.27,1.28,1.8,3,4.2,35.81,33.5,30,50.7,86.7,22.1,,201.7,5.8,14.86,0.49,21.2,53.3,87.2,0.106,0.366,3.5
Ashaway MonoGut 16L,66,51,Medium,Polyester,1.27,1.28,1.8,3,4.2,18.54,44.9,22,27.8,46.3,13.5,,304.6,10.19,16.25,-0.33,26,42.3,96,0.106,0.366,3.5
Ashaway MonoGut 16L,67,40,Fast,Polyester,1.27,1.28,1.8,3,4.2,26.64,41.7,20,26.2,52.9,23.2,,228,8.16,15.11,0.28,23.6,46.4,89.7,0.106,0.366,3.5
Ashaway MonoGut 16L,68,62,Medium,Polyester,1.27,1.28,1.8,3,4.2,19.03,40.3,29.1,41.9,60.9,29.9,,181.2,5.8,14.93,0.5,21.2,53.5,84.5,0.106,0.366,3.5
Ashaway MonoGut 16L,69,51,Fast,Polyester,1.27,1.28,1.8,3,4.2,35.3,38.8,18.1,24.5,59.8,24.3,,259.5,10.19,15.72,0.13,26,42.2,92,0.106,0.366,3.5
Ashaway MonoGut 16L,70,62,Fast,Polyester,1.27,1.28,1.8,3,4.2,27.45,37.6,27,41,68.4,31.4,,202.9,8.16,15.11,0.55,23.8,47,85,0.106,0.366,3.5
Ashaway MonoGut 16L,71,40,Slow,Polyester,1.27,1.28,1.8,3,4.2,18.96,38.2,34,51.6,70.6,32.5,,229.2,10.19,15.74,0.71,26.7,43.1,88.4,0.106,0.366,3.5
Ashaway MonoGut 17,72,62,Fast,Polyester,1.22,1.22,1.8,3.3,4.5,34.13,40.1,19.2,24.3,58.4,31.5,,188.6,8.56,16.47,0.77,25.8,50.9,83.5,0.097,0.378,3.9
Ashaway MonoGut 17,73,40,Slow,Polyester,1.22,1.22,1.8,3.3,4.5,25.78,38.8,28,41,66.8,33.2,,217.2,10.78,16.56,0.42,27.8,45,88.4,0.097,0.378,3.9
Ashaway MonoGut 17,74,51,Slow,Polyester,1.22,1.22,1.8,3.3,4.5,17.53,39.7,35.2,50.3,67.9,12.5,,220.6,6.42,16,-0.02,22.5,56.4,92.7,0.097,0.378,3.9
Ashaway MonoGut 17,75,40,Medium,Polyester,1.22,1.22,1.8,3.3,4.5,34.42,36.2,26,40.6,75,13,,244,8.56,17.11,-0.2,25.6,50.2,92.9,0.097,0.378,3.9
Ashaway MonoGut 17,76,62,Slow,Polyester,1.22,1.22,1.8,3.3,4.5,25.69,36.9,33,50.5,76.3,22,,185.7,6.42,15.7,0.42,22.5,56.8,85,0.097,0.378,3.9
Ashaway MonoGut 17,77,51,Medium,Polyester,1.22,1.22,1.8,3.3,4.5,34.4,34.3,31,51.4,85.8,14,,266.3,10.78,16.83,-0.11,27.6,44.5,96.2,0.097,0.378,3.9
Ashaway MonoGut 17,78,40,Fast,Polyester,1.22,1.22,1.8,3.3,4.5,17.27,46.8,22.4,27.3,44.5,23.4,,212,8.56,16.38,0.27,25.1,49.7,88.9,0.097,0.378,3.9
Ashaway MonoGut 17,79,62,Medium,Polyester,1.22,1.22,1.8,3.3,4.5,25.05,43.4,20.6,25.6,50.5,29.8,,165.7,6.42,15.74,0.73,22.9,57.7,78.9,0.097,0.378,3.9
Ashaway MonoGut 17,80,51,Fast,Polyester,1.22,1.22,1.8,3.3,4.5,17.57,41.9,30,41,58.7,24.4,,244.6,10.78,16.54,0.26,27.6,44.7,92.2,0.097,0.378,3.9
Ashaway MonoGut ZX 16,81,40,Slow,Nylon/Zyex,1.27,NA,7.9,13,17.9,14.49,45.4,40,33.5,48.1,11.3,,133.2,8.38,15.39,-0.26,23.6,46.3,97.8,0.088,0.391,4.4
Ashaway MonoGut ZX 16,82,62,Medium,Nylon/Zyex,1.27,NA,7.9,13,17.9,38.26,40.7,19,12.3,50.5,10.9,,125.2,7.65,17.75,0,25.4,64,93.7,0.088,0.391,4.4
Ashaway MonoGut ZX 16,83,51,Medium,Nylon/Zyex,1.27,NA,7.9,13,17.9,26.95,45.2,21.5,15.2,42.1,20.5,,129.2,10.76,11.82,0.22,22.7,36.9,95.5,0.088,0.391,4.4
Ashaway MonoGut ZX 16,84,40,Medium,Nylon/Zyex,1.27,NA,7.9,13,17.9,14.29,52.2,25.4,19.8,34.2,19.5,,114.3,8.38,14.98,0.5,23.8,47,93.1,0.088,0.391,4.4
Ashaway MonoGut ZX 16,85,62,Fast,Nylon/Zyex,1.27,NA,7.9,13,17.9,39.16,37.6,26.6,22.5,61.7,18,,98.3,7.65,17.69,0.28,25.6,64.6,84.3,0.088,0.391,4.4
Ashaway MonoGut ZX 16,86,51,Fast,Nylon/Zyex,1.27,NA,7.9,13,17.9,27.36,41.4,29.8,24.9,52.3,27.6,,118.3,10.76,11.91,0.77,23.4,38,91.6,0.088,0.391,4.4
Ashaway MonoGut ZX 16,87,40,Fast,Nylon/Zyex,1.27,NA,7.9,13,17.9,14.35,47.3,34,28,42.3,26.1,,105.7,8.38,15.2,0.57,24,47.6,88.5,0.088,0.391,4.4
Ashaway MonoGut ZX 16,88,62,Slow,Nylon/Zyex,1.27,NA,7.9,13,17.9,39.07,36,32.1,29.8,69,24.1,,85.2,7.65,17.55,0.75,26,65.4,79,0.088,0.391,4.4
Ashaway MonoGut ZX 16,89,51,Slow,Nylon/Zyex,1.27,NA,7.9,13,17.9,27.14,39.4,35.2,32.2,59.3,12,,137.7,10.76,12.72,-0.66,22.9,37,99.2,0.088,0.391,4.4
Ashaway Synthetic Gut 16,90,51,Medium,Nylon,1.3,1.33,NA,NA,10.9,27.65,45.9,21.4,15.9,43.4,21.8,,138.3,7.34,4.72,0.07,12.1,30.6,92.5,0.097,0.446,4.6
Ashaway Synthetic Gut 16,91,40,Fast,Nylon,1.3,1.33,NA,NA,10.9,39.01,40.7,19,15.2,54.2,13.6,,193.7,9,4.16,0.03,13.2,21.4,97.2,0.097,0.446,4.6
Ashaway Synthetic Gut 16,92,62,Medium,Nylon,1.3,1.33,NA,NA,10.9,27.63,41,30,30.6,58.2,23.4,,173.2,7.36,4.6,0.04,11.9,23.7,95.1,0.097,0.446,4.6
Ashaway Synthetic Gut 16,93,51,Fast,Nylon,1.3,1.33,NA,NA,10.9,48.58,37.7,17.3,14.3,62.8,29.9,,134.3,7.34,4.85,0.16,12.3,31.1,89.1,0.097,0.446,4.6
Ashaway Synthetic Gut 16,94,62,Fast,Nylon,1.3,1.33,NA,NA,10.9,38.76,37,26.9,30.9,69.7,24.3,,193.7,9,4.83,0.02,13.9,22.4,95.6,0.097,0.446,4.6
Ashaway Synthetic Gut 16,95,40,Slow,Nylon,1.3,1.33,NA,NA,10.9,27.5,38.5,35.1,40.8,68.4,32.3,,166.9,7.36,4.82,0.17,12.3,24.3,92.2,0.097,0.446,4.6
Ashaway Synthetic Gut 16,96,51,Slow,Nylon,1.3,1.33,NA,NA,10.9,47.91,34.7,25,29.8,77.6,33.6,,188.6,9,5.02,0.2,14.3,23,95.5,0.097,0.446,4.6
Ashaway Synthetic Gut 16,97,40,Medium,Nylon,1.3,1.33,NA,NA,10.9,38.54,34.9,32,42.1,80.7,11.7,,140,7.34,4.7,-0.07,11.9,30.2,95.1,0.097,0.446,4.6
Ashaway Synthetic Gut 16,98,62,Slow,Nylon,1.3,1.33,NA,NA,10.9,47.72,32.8,30,41.9,89.5,12.9,,171.5,7.36,4.35,0,11.7,23.1,97.6,0.097,0.446,4.6
Babolat Addiction 16,99,51,Medium,Nylon,1.3,1.33,6.7,7.6,8.5,30.47,43.7,20.4,16.3,46.7,21.6,,156.6,4.94,4.34,0.05,9.3,23.5,94.7,0.127,0.391,3.1
Babolat Addiction 16,100,40,Fast,Nylon,1.3,1.33,6.7,7.6,8.5,40.95,39.7,18.3,15.2,56,14.3,,202.3,5.91,4.06,-0.03,9.9,16.1,97.8,0.127,0.391,3.1
Babolat Addiction 16,101,62,Medium,Nylon,1.3,1.33,6.7,7.6,8.5,30.41,39.8,28.3,30.9,61.3,23,,180,5.51,4.42,-0.02,9.9,19.5,97.8,0.127,0.391,3.1
Babolat Addiction 16,102,51,Fast,Nylon,1.3,1.33,6.7,7.6,8.5,51.77,36.5,17.2,14.6,66.4,30.1,,142.3,4.94,4.45,0.14,9.5,24,90.1,0.127,0.391,3.1
Babolat Addiction 16,103,62,Fast,Nylon,1.3,1.33,6.7,7.6,8.5,40.79,36.5,26,30,70.8,24.3,,207.5,5.91,4.37,-0.05,10.1,16.6,97,0.127,0.391,3.1
Babolat Addiction 16,104,40,Slow,Nylon,1.3,1.33,6.7,7.6,8.5,30.3,37.4,34,40.6,70.8,32.4,,167.4,5.51,4.51,0.17,10.1,20.1,92.4,0.127,0.391,3.1
Babolat Addiction 16,105,51,Slow,Nylon,1.3,1.33,6.7,7.6,8.5,51.46,33.9,24,29.3,80.9,33.6,,197.7,5.91,4.54,0.27,10.8,17.4,94.7,0.127,0.391,3.1
Babolat Addiction 16,106,40,Medium,Nylon,1.3,1.33,6.7,7.6,8.5,40.7,34.4,31.7,41.2,82,11.9,,160,4.94,4.28,-0.05,9.3,23.1,96.4,0.127,0.391,3.1
Babolat Addiction 16,107,62,Slow,Nylon,1.3,1.33,6.7,7.6,8.5,51.29,32.1,29.1,41,92.4,12.8,,182.9,5.51,4.26,-0.06,9.7,19.1,99,0.127,0.391,3.1
Babolat Addiction 17,108,51,Fast,Nylon,1.25,1.3,7.3,8.8,9.4,40.88,40.4,19,14.3,55.1,29.5,,134.3,5.4,4.35,0.11,9.9,24.8,92,0.141,0.363,2.6
Babolat Addiction 17,109,62,Fast,Nylon,1.25,1.3,7.3,8.8,9.4,30.01,40.5,29,28,58,23.7,,184.6,6.39,4.24,-0.07,10.6,17.1,96,0.141,0.363,2.6
Babolat Addiction 17,110,40,Slow,Nylon,1.25,1.3,7.3,8.8,9.4,51.33,37.2,17.6,13.7,65,31.8,,153.7,5.89,4.17,0.13,10.1,20.1,92.9,0.141,0.363,2.6
Babolat Addiction 17,111,51,Slow,Nylon,1.25,1.3,7.3,8.8,9.4,40.77,37.2,26.3,27.8,68.4,33.3,,173.7,6.39,4.37,0.18,11,17.7,94.9,0.141,0.363,2.6
Babolat Addiction 17,112,40,Medium,Nylon,1.25,1.3,7.3,8.8,9.4,29.94,38,34.3,38.8,68.8,11.9,,138.3,5.4,4.21,-0.06,9.5,24.1,97.4,0.141,0.363,2.6
Babolat Addiction 17,113,62,Slow,Nylon,1.25,1.3,7.3,8.8,9.4,51.11,34.6,24.3,26.9,78.1,13.1,,161.2,5.89,3.95,-0.04,9.7,19.3,98.2,0.141,0.363,2.6
Babolat Addiction 17,114,51,Medium,Nylon,1.25,1.3,7.3,8.8,9.4,40.66,35,32,38.8,79.4,21.1,,135.4,5.4,4.28,0.02,9.7,24.4,94.3,0.141,0.363,2.6
Babolat Addiction 17,115,40,Fast,Nylon,1.25,1.3,7.3,8.8,9.4,50.98,32.8,29.9,38.1,89.3,14.3,,180,6.39,4.02,-0.11,10.4,16.7,97,0.141,0.363,2.6
Babolat Addiction 17,116,62,Medium,Nylon,1.25,1.3,7.3,8.8,9.4,30.08,44.8,21,15,45.2,22.5,,162.3,5.89,4.06,0,9.9,19.6,95.8,0.141,0.363,2.6
Babolat Attraction 16,117,40,Medium,Nylon/Polyurethane,1.3,1.32,NA,NA,9.4,50.49,37.2,17,13,63.5,12.3,,165.7,5.6,4.28,-0.11,9.7,19.3,97.6,0.15,0.398,2.7
Babolat Attraction 16,118,62,Fast,Nylon/Polyurethane,1.3,1.32,NA,NA,9.4,30.1,44.6,20.8,15,45.2,21.6,,141.2,5.29,4.35,0.02,9.7,24.3,95.1,0.15,0.398,2.7
Babolat Attraction 16,119,51,Medium,Nylon/Polyurethane,1.3,1.32,NA,NA,9.4,40.84,40.2,18.1,13.5,54.2,33.8,,181.7,7.06,4.49,0.11,11.7,18.9,92.2,0.15,0.398,2.7
Babolat Attraction 16,120,40,Fast,Nylon/Polyurethane,1.3,1.32,NA,NA,9.4,30.05,40,29.1,29.3,59.3,22.7,,170.9,5.6,4.33,0,9.9,19.6,95.3,0.15,0.398,2.7
Babolat Attraction 16,121,62,Medium,Nylon/Polyurethane,1.3,1.32,NA,NA,9.4,50.19,32.6,30,40.1,90.4,29.8,,138.9,5.29,4.39,0.15,9.9,24.8,90.6,0.15,0.398,2.7
Babolat Attraction 16,122,51,Fast,Nylon/Polyurethane,1.3,1.32,NA,NA,9.4,40.79,36.7,26.2,28.9,69.7,23.9,,189.7,7.06,4.36,-0.04,11.5,18.4,96.6,0.15,0.398,2.7
Babolat Attraction 16,123,62,Slow,Nylon/Polyurethane,1.3,1.32,NA,NA,9.4,30.01,37.7,34.2,39.9,69.9,32.1,,157.7,5.6,4.44,0.13,10.1,20,90.2,0.15,0.398,2.7
Babolat Attraction 16,124,40,Slow,Nylon/Polyurethane,1.3,1.32,NA,NA,9.4,50.32,34.3,24.5,28,78.3,13.5,,180.6,7.06,4.19,-0.07,11.2,18.1,99,0.15,0.398,2.7
Babolat Attraction 16,125,51,Slow,Nylon/Polyurethane,1.3,1.32,NA,NA,9.4,40.68,34.7,32,39.7,80.5,11.7,,140,5.29,4.3,-0.04,9.5,24.1,97.8,0.15,0.398,2.7
